rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.852287794498503,0.885372710736821,0.845233584154572,0.860964696463299,0.0472723241229473,0.2360491490959,0.245239292870522,0.17618692202979,0.0614031516698119,0.102161645210771,0.0967552639826634,0.0867733536210822,0.0738504278445974,0.0917116116676255,0.0943383158364873,0.0886861781630042,0.1,0.1,0.1,0.1,0.1,0.1,,17.277,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
empirical_AIC_each_k,0.839733660370295,0.887528359475652,0.850967543353916,0.859409854399954,0.0481476175131562,0.229140320251599,0.241673220143121,0.172987052635959,0.0666218362012651,0.100240421887154,0.0931705667925931,0.0866776082936706,0.0848139367052482,0.109513011586504,0.0929047750808094,0.0970604149475541,0.109644739261881,0.109644739261881,0.109644739261881,0.0819785412451297,0.0819785412451297,0.0819785412451297,,1360.784,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
empirical_AIC_full,0.765326746238065,0.872162179821951,0.826366440216783,0.821285122092266,0.068940915034015,0.250312621151155,0.243149587676898,0.187467707954023,0.0975523812989594,0.113935539377214,0.108550429505672,0.106679450060615,0.147185673967152,0.114241459959926,0.129656403148944,0.130793457496173,0.0467801038304251,0.110287310585187,0.114498108816741,0.0850178506887246,0.0721172127666256,0.105401443369031,,1426.422,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
empirical_independence,0,0,0,0,0.293074296546638,1.66486864535547,1.68593737187855,1.21462677126022,0.415694501759974,0.891250642560453,0.625169636798315,0.644038260372914,0.563710563902638,0.77186088032684,0.400140715594725,0.627285321660335,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.02800000000025,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
Gaussian,0.894736333773804,0.863130740522373,0.809421175583305,0.855762749959827,0.0341849755740097,0.147441316324066,0.342414564005294,0.174680285301123,0.0437575272853269,0.121984815456209,0.119144094442035,0.0949621457278568,0.0468920784341741,0.09516270973166,0.0915844856082851,0.0884330431984361,,,,,,,,6.9079999999999,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
copula,0.870112425492638,0.924007540742797,0.899501786028069,0.897873917421168,0.0402187696320975,0.0940826405150174,0.243179623295289,0.125827011147468,0.0539935505696493,0.0677283281427316,0.0628284319277113,0.0615167702133641,0.0743103946051532,0.0868028405917147,0.06007174946498,0.0745008627757912,,,,,,,,12.0059999999999,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
treeSHAP,-0.469392850912767,0.252334515425139,0.370705999330041,0.051215887947471,0.477965185678796,1.3312824901009,1.54962663671667,1.11962477083212,0.610818529049851,0.666357343547617,0.393415501838197,0.556863791478555,0.588984180396031,0.66025011860963,0.293883904877551,0.549284613838785,,,,,,,,0.0320000000001528,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571336Z
empirical_sigma.01,0.809426112423332,0.89691544892796,0.866018106041841,0.857453222464378,0.0495596505106571,0.0949585991205294,0.0613413486759537,0.0686198661023801,0.0614499860885165,0.0562181227069649,0.0559349855486685,0.0578676981147166,0.107658693374937,0.104647464637833,0.121123367540455,0.111029722706938,0.1,0.1,0.1,0.1,0.1,0.1,,16.238,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571321Z
empirical_AIC_each_k,0.755260323971422,0.851278089115758,0.836928169137301,0.814488860741494,0.0566195226393668,0.08912437469583,0.0697367902515778,0.0718268958622582,0.0789155842833602,0.0811068831202613,0.0680795011417626,0.0760339895151281,0.19265330901058,0.249764919858703,0.184215710731962,0.210268358601803,0.105767032599774,0.105767032599774,0.105767032599774,0.126672815977536,0.126672815977536,0.126672815977536,,1569.986,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571321Z
empirical_AIC_full,0.758367551480832,0.874223241253712,0.817689091164222,0.816759961299588,0.0674918835763057,0.113899186567646,0.11797351390217,0.0997881946820403,0.0779136679680925,0.0685935301007581,0.0761114636450688,0.0742062205713064,0.132711923418776,0.107465586246654,0.11649196274568,0.119016657723112,0.0644618583270991,0.180093814989389,0.0467281989227921,0.148534297857819,0.0697013099203235,0.152168424917391,,1712.351,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,DIQgK,2019-01-21T08:37:56.571321Z
