rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.304331441397244,0.52559531767348,0.41371984494738,0.414548868006035,6.29914806448771,0.130271427234947,0.403982736088854,2.27780074260384,0.0726944596846244,0.0486368134631449,0.0653827015436408,0.0622379915638034,0.0800124068368911,0.0568210441877263,0.0705944275603863,0.0702890986424137,0.1,0.1,0.1,0.1,0.1,0.1,3.302,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
empirical_AIC_each_k,0.649299013029974,0.693051802762593,0.772510546681622,0.704953787491396,1.24709899877927,0.0742694296530891,0.289055848107847,0.53680809218007,0.0366467888240559,0.0314688761895676,0.0253699104471761,0.0311618584869332,0.0336131281804416,0.0330899952227302,0.0242149286134796,0.0308560515416874,0.531302182390784,0.531302182390784,0.531302182390784,0.347417839312934,0.347417839312934,0.347417839312934,1944.897,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
empirical_AIC_full,0.653023098720163,0.695969303411852,0.772686189598592,0.707226197243535,0.974835676902687,0.0753583343439253,0.184493472573436,0.411562494606683,0.0362576374189511,0.0311697688237618,0.0253503225277839,0.0309259095901656,0.0336751130403677,0.0327307494862121,0.0243310083145188,0.0307591463092784,0.526301788443411,0.540625180253139,0.526071895953071,0.283254882277388,0.369050623422692,0.366489613040287,2422.243,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
empirical_independence,0,0,0,0,4.51941793577285,0.205907740649941,0.456698226181926,1.72734130086824,0.104495824607383,0.102521782088292,0.111521259896257,0.106179622197311,0.0785200151708494,0.0810466187609921,0.0820133343694892,0.0803634738932706,Inf,Inf,Inf,Inf,Inf,Inf,4.02199999999993,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
Gaussian,0.737378975767319,0.776701562168581,0.813518288866618,0.77586627560084,1.49596738978961,0.0638107023470985,0.327424139178143,0.629067410438284,0.0274428004864295,0.0228929537840088,0.0207966753732045,0.0237108098812143,0.0178782330181792,0.0162936944929446,0.014509174939818,0.0164668955166042,,,,,,,3.19900000000052,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
copula,0.681289866000863,0.727405118420317,0.798949654982844,0.735881546468008,2.04408590893736,0.0696013635860956,0.271149554761341,0.794945609094932,0.0333038782629693,0.0279469130476961,0.0224213877788903,0.0278907263631852,0.0204757531062247,0.0180502998249776,0.0186484742250752,0.0195358007793088,,,,,,,8.80199999999968,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.12,1,0.1,2000,100,1,1000,1235,qm7IY,2019-01-16T10:38:49.793579Z
empirical_sigma.01,0.0202978437519973,0.264995830556067,0.14234829292721,0.142547322411758,0.687994655915685,0.160877130294831,0.398795309841908,0.415889032017474,0.0720789167773378,0.0517666353156321,0.0671220637214795,0.0636558719381498,0.0888663986044166,0.0545007772851311,0.078617137500738,0.0756290447236476,0.1,0.1,0.1,0.1,0.1,0.1,3.226,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mt1rf,2019-01-16T10:38:49.793425Z
empirical_AIC_each_k,0.554831943791227,0.611594907413981,0.718398751670921,0.62827520095871,0.177320509036829,0.0718516885670665,0.4335913691876,0.227587855597165,0.0327520267979065,0.0273555247963372,0.0220388495452367,0.0273821337131601,0.027249478278915,0.0279521613975742,0.0183803472348952,0.025211246346725,0.65891720154791,0.65891720154791,0.65891720154791,0.411209242155278,0.411209242155278,0.411209242155278,2091.713,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mt1rf,2019-01-16T10:38:49.793425Z
empirical_AIC_full,0.556425261291934,0.612173627281921,0.722432489052522,0.630343792542126,0.168528195826879,0.0722282877970348,0.382485472392419,0.207747318672111,0.0326348028040621,0.0273147653263927,0.0217231587172109,0.0272242422825553,0.0271514209323936,0.0276939697057726,0.0183681393309177,0.0250929575962452,0.668366711032553,0.673103826097943,0.643559992898247,0.350009494333631,0.433781477403907,0.43129544750192,2375.306,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mt1rf,2019-01-16T10:38:49.793425Z
empirical_independence,0,0,0,0,0.356443170407037,0.156092439187039,0.404012870441978,0.305516160012018,0.0735722753263918,0.0704303968163828,0.0782626130956709,0.0740884284128152,0.0562524144428323,0.0561513005188793,0.0573983104821949,0.0565059012707872,Inf,Inf,Inf,Inf,Inf,Inf,3.51499999999942,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mt1rf,2019-01-16T10:38:49.793425Z
Gaussian,0.631099689540714,0.676565777010482,0.734062770101161,0.680576078884119,0.181526411315102,0.0691360874459428,0.382146965440426,0.210936488067157,0.027140835209102,0.0227796006691502,0.0208129425313074,0.0235777928031865,0.017735357830148,0.0160736782316341,0.0146779857186149,0.0163719578324341,,,,,,,3.11499999999978,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.08,1,0.1,2000,100,1,1000,1235,mt1rf,2019-01-16T10:38:49.793425Z
